episode_id,scenario_name,config_name,pedestrian_mode,seed,dropout_prob,outcome,duration_s,wall_s,path_length_m,min_human_distance_m,intervention_count_total,intervention_count_cause_0,intervention_count_cause_1,intervention_count_cause_2,intervention_count_cause_3,intervention_count_cause_4,intervention_count_cause_5,intervention_count_cause_6,intervention_count_cause_7
noise_sweep_dropout0.1_seed6,open_arena,policy_supervised,reactive,6,0.1,success,59.2,67.19683475400234,4.10678065291809,0.4275724018107195,173,0,56,0,0,117,0,0,0
noise_sweep_dropout0.1_seed7,open_arena,policy_supervised,reactive,7,0.1,success,52.8,60.843948079003894,4.726796859748481,0.40270421164921766,143,0,45,0,0,98,0,0,0
noise_sweep_dropout0.2_seed0,open_arena,policy_supervised,reactive,0,0.2,timeout,120.2,128.13857719099906,1.1793896334953018,0.45997161401994124,442,0,209,0,0,233,0,0,0
noise_sweep_dropout0.2_seed1,open_arena,policy_supervised,reactive,1,0.2,timeout,120.2,128.21716917899903,0.23767561528146966,0.4765034971083661,431,0,234,0,0,197,0,0,0
noise_sweep_dropout0.2_seed2,open_arena,policy_supervised,reactive,2,0.2,timeout,120.2,128.38125212400337,1.2961606624913367,0.4486910014047281,442,0,175,0,0,267,0,0,0
noise_sweep_dropout0.2_seed3,open_arena,policy_supervised,reactive,3,0.2,timeout,120.2,128.1863920570031,0.5708702765787633,0.4367449804121996,448,0,268,0,0,180,0,0,0
noise_sweep_dropout0.2_seed4,open_arena,policy_supervised,reactive,4,0.2,timeout,120.2,128.12567588000093,0.21934673916271252,0.4540214285793359,444,0,217,0,0,227,0,0,0
noise_sweep_dropout0.2_seed5,open_arena,policy_supervised,reactive,5,0.2,timeout,120.2,128.2201243439995,0.23585175806519995,0.4690823523830673,453,0,265,0,0,188,0,0,0
noise_sweep_dropout0.2_seed6,open_arena,policy_supervised,reactive,6,0.2,timeout,120.2,127.58572773900232,0.24533655535568097,0.43928223983787407,427,0,232,0,0,195,0,0,0
noise_sweep_dropout0.2_seed7,open_arena,policy_supervised,reactive,7,0.2,nav2_aborted,33.0,44.29371819300286,0.15786491306177514,0.47378582035809186,98,0,49,0,0,49,0,0,0
noise_sweep_dropout0.3_seed0,open_arena,policy_supervised,reactive,0,0.3,timeout,120.2,128.31706030199712,0.24893354515534188,0.5000004719935389,448,0,236,0,0,212,0,0,0
noise_sweep_dropout0.3_seed1,open_arena,policy_supervised,reactive,1,0.3,timeout,120.2,128.28552845200466,0.07797607238365252,0.4940408211292153,431,0,215,0,0,216,0,0,0
noise_sweep_dropout0.3_seed2,open_arena,policy_supervised,reactive,2,0.3,collision,119.4,127.46805513500294,0.3229352436347471,0.3859946100858901,444,0,208,0,0,236,0,0,0
noise_sweep_dropout0.3_seed3,open_arena,policy_supervised,reactive,3,0.3,timeout,120.2,128.12244559700048,0.19837206510173114,0.46889007618400336,425,0,257,0,0,168,0,0,0
noise_sweep_dropout0.3_seed4,open_arena,policy_supervised,reactive,4,0.3,timeout,120.2,128.20768497200334,0.2506759580185044,0.4524663139013725,447,0,207,0,0,240,0,0,0
noise_sweep_dropout0.3_seed5,open_arena,policy_supervised,reactive,5,0.3,timeout,120.2,128.15222807499958,0.17976714674760141,0.4235124433881545,431,0,211,0,0,220,0,0,0
